Kunta	vuosi	kk	siteid	longitude	latitude	rainfall_sum	t_mean_avg	t_mean_min	t_mean_max	Amplitude	Amplitude/2	t_mean_stddev
Tammela	2014	1	366	3325000	6735000	32.6	-8.58065	-18.5	4.2	22.7	11.35	7.65171
Tammela	2014	2	366	3325000	6735000	22.3	-0.84286	-7.2	2.8	10	5	2.22268
Tammela	2014	3	366	3325000	6735000	30.5	0.72258	-6.3	3.8	10.1	5.05	2.66999
Tammela	2014	4	366	3325000	6735000	18.6	4.6	-1.6	11.7	13.3	6.65	3.65841
Tammela	2014	5	366	3325000	6735000	47.5	9.8129	1.7	22.4	20.7	10.35	5.97294
Tammela	2014	6	366	3325000	6735000	102.7	12.30667	6.7	21.4	14.7	7.35	3.47754
Tammela	2014	7	366	3325000	6735000	42.8	18.79355	11.4	23	11.6	5.8	3.1124
Tammela	2014	8	366	3325000	6735000	218.2	15.62258	9.9	23.7	13.8	6.9	3.98899
Tammela	2014	9	366	3325000	6735000	30.9	11.00667	1.8	15	13.2	6.6	3.08944
Tammela	2014	10	366	3325000	6735000	31.2	5.0129	-4.3	11.3	15.6	7.8	4.38471
Tammela	2014	11	366	3325000	6735000	48.1	1.44667	-2.6	9.1	11.7	5.85	3.0488
Tammela	2014	12	366	3325000	6735000	70.4	-2.19355	-16.8	2.5	19.3	9.65	4.76018
Tammela	2015	1	366	3325000	6735000	76.4	-2.94839	-14.8	2.3	17.1	8.55	4.32121
Tammela	2015	2	366	3325000	6735000	35.5	-1.10357	-8.6	2.3	10.9	5.45	2.58519
Tammela	2015	3	366	3325000	6735000	39.1	0.82581	-4.3	3.7	8	4	1.84425
Tammela	2015	4	366	3325000	6735000	45.4	4.02	0.8	8	7.2	3.6	2.03804
Tammela	2015	5	366	3325000	6735000	48.5	8.44839	4	12	8	4	2.01748
Tammela	2015	6	366	3325000	6735000	83.1	12.15667	8.9	16.6	7.7	3.85	1.78394
Tammela	2015	7	366	3325000	6735000	96.2	14.63226	11.9	21.5	9.6	4.8	2.04866
Tammela	2015	8	366	3325000	6735000	21.4	15.71333	11.9	19.1	7.2	3.6	1.8665
Tammela	2015	9	366	3325000	6735000	52.9	11.12333	6.8	14.8	8	4	1.7291
Tammela	2015	10	366	3325000	6735000	21.6	4.10323	-2.2	11.6	13.8	6.9	3.3793
Tammela	2015	11	366	3325000	6735000	86.2	3.27	-3.5	8.4	11.9	5.95	2.88942
Tammela	2015	12	366	3325000	6735000	88.8	1.15667	-7	7.5	14.5	7.25	3.6951
